number,filename,State
94,wav\48-1_L.wav,Normal
95,wav\48-2_L.wav,Abnormal
96,wav\49-1_L.wav,Normal
97,wav\49-2_L.wav,Abnormal
98,wav\50-1_L.wav,Normal
99,wav\50-2_L.wav,Abnormal
100,wav\1-1_R.wav,Normal
101,wav\1-2_R.wav,Abnormal
102,wav\2-1_R.wav,Normal
103,wav\2-2_R.wav,Abnormal
104,wav\3-1_R.wav,Normal
105,wav\3-2_R.wav,Abnormal
106,wav\4-1_R.wav,Normal
107,wav\4-2_R.wav,Abnormal
108,wav\5-1_R.wav,Normal
109,wav\5-2_R.wav,Abnormal
110,wav\6-1_R.wav,Normal
111,wav\6-2_R.wav,Abnormal
112,wav\7-1_R.wav,Normal
113,wav\7-2_R.wav,Abnormal
114,wav\8-1_R.wav,Normal
115,wav\8-2_R.wav,Abnormal
116,wav\9-1_R.wav,Normal
117,wav\9-2_R.wav,Abnormal
118,wav\10-1_R.wav,Normal
119,wav\10-2_R.wav,Abnormal
120,wav\11-1_R.wav,Normal
121,wav\11-2_R.wav,Abnormal
122,wav\12-1_R.wav,Normal
123,wav\12-2_R.wav,Abnormal
124,wav\13-1_R.wav,Normal
125,wav\13-2_R.wav,Abnormal
126,wav\14-1_R.wav,Normal
127,wav\14-2_R.wav,Abnormal
128,wav\15-1_R.wav,Normal
129,wav\15-2_R.wav,Abnormal
130,wav\16-1_R.wav,Normal
131,wav\16-2_R.wav,Abnormal
132,wav\17-1_R.wav,Normal
133,wav\17-2_R.wav,Abnormal
134,wav\18-1_R.wav,Normal
135,wav\18-2_R.wav,Abnormal
136,wav\19-1_R.wav,Normal
137,wav\19-2_R.wav,Abnormal
138,wav\20-1_R.wav,Normal
139,wav\20-2_R.wav,Abnormal
140,wav\21-1_R.wav,Normal
141,wav\21-2_R.wav,Abnormal
142,wav\22-1_R.wav,Normal
143,wav\22-2_R.wav,Abnormal
144,wav\23-1_R.wav,Normal
145,wav\23-2_R.wav,Abnormal
146,wav\24-1_R.wav,Normal
147,wav\24-2_R.wav,Abnormal
148,wav\25-1_R.wav,Normal
149,wav\25-2_R.wav,Abnormal
150,wav\26-1_R.wav,Normal
151,wav\26-2_R.wav,Abnormal
152,wav\27-1_R.wav,Normal
153,wav\27-2_R.wav,Abnormal
154,wav\28-1_R.wav,Normal
155,wav\28-2_R.wav,Abnormal
156,wav\29-1_R.wav,Normal
157,wav\29-2_R.wav,Abnormal
158,wav\30-1_R.wav,Normal
159,wav\30-2_R.wav,Abnormal
160,wav\31-1_R.wav,Normal
161,wav\31-2_R.wav,Abnormal
162,wav\32-1_R.wav,Normal
163,wav\32-2_R.wav,Abnormal
164,wav\33-1_R.wav,Normal
165,wav\33-2_R.wav,Abnormal
166,wav\34-1_R.wav,Normal
167,wav\34-2_R.wav,Abnormal
168,wav\35-1_R.wav,Normal
169,wav\35-2_R.wav,Abnormal
170,wav\36-1_R.wav,Normal
171,wav\36-2_R.wav,Abnormal
172,wav\37-1_R.wav,Normal
173,wav\37-2_R.wav,Abnormal
174,wav\38-1_R.wav,Normal
175,wav\38-2_R.wav,Abnormal
176,wav\39-1_R.wav,Normal
177,wav\39-2_R.wav,Abnormal
178,wav\40-1_R.wav,Normal
179,wav\40-2_R.wav,Abnormal
180,wav\41-1_R.wav,Normal
181,wav\41-2_R.wav,Abnormal
182,wav\42-1_R.wav,Normal
183,wav\42-2_R.wav,Abnormal
184,wav\43-1_R.wav,Normal
185,wav\43-2_R.wav,Abnormal
186,wav\44-1_R.wav,Normal
187,wav\44-2_R.wav,Abnormal
188,wav\45-1_R.wav,Normal
189,wav\45-2_R.wav,Abnormal
190,wav\46-1_R.wav,Normal
191,wav\46-2_R.wav,Abnormal
192,wav\47-1_R.wav,Normal
193,wav\47-2_R.wav,Abnormal
194,wav\48-1_R.wav,Normal
195,wav\48-2_R.wav,Abnormal
196,wav\49-1_R.wav,Normal
197,wav\49-2_R.wav,Abnormal
198,wav\50-1_R.wav,Normal
199,wav\50-2_R.wav,Abnormal
